Domain,Type,Sponsoring Organisation,Date
.lds,generic,"IRI Domain Management, LLC",2025-06-12
.lease,generic,"Victor Trail, LLC",2025-06-12
.leclerc,generic,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc,2025-06-12
.legal,generic,"Blue Falls, LLC",2025-06-12
.lgbt,generic,Afilias Limited,2025-06-12
.lidl,generic,Schwarz Domains und Services GmbH & Co. KG,2025-06-12
.life,generic,"Trixy Oaks, LLC",2025-06-12
.lighting,generic,"John McCook, LLC",2025-06-12
.limited,generic,"Big Fest, LLC",2025-06-12
.limo,generic,"Hidden Frostbite, LLC",2025-06-12
.link,generic,"Uniregistry, Corp.",2025-06-12
.loan,generic,dot Loan Limited,2025-06-12
.loans,generic,"June Woods, LLC",2025-06-12
.london,generic,Dot London Domains Limited,2025-06-12
.lotte,generic,"Lotte Holdings Co., Ltd.",2025-06-12
.lotto,generic,Afilias Limited,2025-06-12
.love,generic,Merchant Law Group LLP,2025-06-12
.ltda,generic,InterNetX Corp.,2025-06-12
.luxe,generic,Top Level Domain Holdings Limited,2025-06-12
.luxury,generic,Luxury Partners LLC,2025-06-12
.madrid,generic,Comunidad de Madrid,2025-06-12
.maif,generic,Mutuelle Assurance Instituteur France (MAIF),2025-06-12
.maison,generic,"Victor Frostbite, LLC",2025-06-12
.management,generic,"John Goodbye, LLC",2025-06-12
.mango,generic,PUNTO FA S.L.,2025-06-12
.market,generic,"Unitied TLD Holdco, Ltd",2025-06-12
.marketing,generic,"Fern Pass, LLC",2025-06-12
.markets,generic,DOTMARKETS REGISTRY LTD,2025-06-12
.marriott,generic,Marriott Worldwide Corporation,2025-06-12
.media,generic,"Grand Glen, LLC",2025-06-12
.meet,generic,Afilias Limited,2025-06-12
.melbourne,generic,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation",2025-06-12
.meme,generic,Charleston Road Registry Inc.,2025-06-12
.memorial,generic,"Dog Beach, LLC",2025-06-12
.menu,generic,"Wedding TLD2, LLC",2025-06-12
.miami,generic,Top Level Domain Holdings Limited,2025-06-12
.mini,generic,Bayerische Motoren Werke Aktiengesellschaft,2025-06-12
.mma,generic,MMA IARD,2025-06-12
.moda,generic,United TLD Holdco Ltd.,2025-06-12
.moe,generic,"Interlink Co., Ltd.",2025-06-12
.monash,generic,Monash University,2025-06-12
.money,generic,"Outer McCook, LLC",2025-06-12
.mormon,generic,"IRI Domain Management, LLC (""Applicant"")",2025-06-12
.mortgage,generic,"United TLD Holdco, Ltd",2025-06-12
.moscow,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2025-06-12
.motorcycles,generic,"DERMotorcycles, LLC",2025-06-12
.mov,generic,Charleston Road Registry Inc.,2025-06-12
.movie,generic,"New Frostbite, LLC",2025-06-12
.mtn,generic,MTN Dubai Limited,2025-06-12
.mtpc,generic,Mitsubishi Tanabe Pharma Corporation,2025-06-12
.nagoya,generic,"GMO Registry, Inc.",2025-06-12
.navy,generic,United TLD Holdco Ltd.,2025-06-12
.net,generic,VeriSign Global Registry Services,2025-06-12
.network,generic,"Trixy Manor, LLC",2025-06-12
.neustar,generic,"NeuStar, Inc.",2025-06-12
.new,generic,Charleston Road Registry Inc.,2025-06-12
.news,generic,United TLD Holdco Ltd.,2025-06-12
.nexus,generic,Charleston Road Registry Inc.,2025-06-12
.ngo,generic,Public Interest Registry,2025-06-12
.nhk,generic,Japan Broadcasting Corporation (NHK),2025-06-12
.nico,generic,"DWANGO Co., Ltd.",2025-06-12
.ninja,generic,United TLD Holdco Ltd.,2025-06-12
.nissan,generic,"NISSAN MOTOR CO., LTD.",2025-06-12
.nra,generic,"NRA Holdings Company, INC.",2025-06-12
.nrw,generic,Minds + Machines GmbH,2025-06-12
.ntt,generic,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,2025-06-12
.nyc,generic,The City of New York by and through the New York City Department of Information Technology & Telecommunications,2025-06-12
.okinawa,generic,BusinessRalliart inc.,2025-06-12
.one,generic,One.com A/S,2025-06-12
.ong,generic,Public Interest Registry,2025-06-12
.onl,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2025-06-12
.online,generic,DotOnline Inc.,2025-06-12
.ooo,generic,INFIBEAM INCORPORATION LIMITED,2025-06-12
.org,generic,Public Interest Registry (PIR),2025-06-12
.organic,generic,Afilias Limited,2025-06-12
.osaka,generic,"Interlink Co., Ltd.",2025-06-12
.otsuka,generic,"Otsuka Holdings Co., Ltd.",2025-06-12
.ovh,generic,OVH SAS,2025-06-12
.page,generic,Charleston Road Registry Inc.,2025-06-12
.panerai,generic,Richemont DNS Inc.,2025-06-12
.paris,generic,City of Paris,2025-06-12
.partners,generic,"Magic Glen, LLC",2025-06-12
.parts,generic,"Sea Goodbye, LLC",2025-06-12
.party,generic,Blue Sky Registry Limited,2025-06-12
.pharmacy,generic,National Association of Boards of Pharmacy,2025-06-12
.photo,generic,"Uniregistry, Corp.",2025-06-12
.photography,generic,"Sugar Glen, LLC",2025-06-12
.photos,generic,"Sea Corner, LLC",2025-06-12
.physio,generic,PhysBiz Pty Ltd,2025-06-12
.piaget,generic,Richemont DNS Inc.,2025-06-12
.pics,generic,"Uniregistry, Corp.",2025-06-12
.pictet,generic,Pictet Europe S.A.,2025-06-12
.pictures,generic,"Foggy Sky, LLC",2025-06-12
.pink,generic,Afilias Limited,2025-06-12
.pizza,generic,"Foggy Moon, LLC",2025-06-12
.place,generic,"Snow Galley, LLC",2025-06-12
.plumbing,generic,"Spring Tigers, LLC",2025-06-12
.plus,generic,"Sugar Mill, LLC",2025-06-12
.pohl,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2025-06-12
.poker,generic,Afilias Domains No. 5 Limited,2025-06-12
.porn,generic,ICM Registry PN LLC,2025-06-12
.praxi,generic,Praxi S.p.A.,2025-06-12
.press,generic,DotPress Inc.,2025-06-12
.prod,generic,Charleston Road Registry Inc.,2025-06-12
.productions,generic,"Magic Birch, LLC",2025-06-12
.prof,generic,Charleston Road Registry Inc.,2025-06-12
.properties,generic,"Big Pass, LLC",2025-06-12
.property,generic,"Uniregistry, Corp.",2025-06-12
.pub,generic,United TLD Holdco Ltd.,2025-06-12
.qpon,generic,"dotCOOL, Inc.",2025-06-12
.quebec,generic,PointQuébec Inc,2025-06-12
.racing,generic,Premier Registry Limited,2025-06-12
.realtor,generic,Real Estate Domains LLC,2025-06-12
.recipes,generic,"Grand Island, LLC",2025-06-12
.red,generic,Afilias Limited,2025-06-12
.redstone,generic,"Redstone Haute Couture Co., Ltd.",2025-06-12
.rehab,generic,United TLD Holdco Ltd.,2025-06-12
.reise,generic,dotreise GmbH,2025-06-12
.reisen,generic,"New Cypress, LLC",2025-06-12
.reit,generic,"National Association of Real Estate Investment Trusts, Inc.",2025-06-12
.ren,generic,"Beijing Qianxiang Wangjing Technology Development Co., Ltd.",2025-06-12
.rentals,generic,"Big Hollow,LLC",2025-06-12
.repair,generic,"Lone Sunset, LLC",2025-06-12
.report,generic,"Binky Glen, LLC",2025-06-12
.republican,generic,United TLD Holdco Ltd.,2025-06-12
.rest,generic,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable,2025-06-12
.restaurant,generic,"Snow Avenue, LLC",2025-06-12
.review,generic,dot Review Limited,2025-06-12
.reviews,generic,"United TLD Holdco, Ltd.",2025-06-12
.rich,generic,"I-REGISTRY Ltd., Niederlassung Deutschland",2025-06-12
.rio,generic,Empresa Municipal de Informática SA - IPLANRIO,2025-06-12
.rip,generic,United TLD Holdco Ltd.,2025-06-12
.rocks,generic,"United TLD Holdco, LTD.",2025-06-12
.rodeo,generic,Top Level Domain Holdings Limited,2025-06-12
.rsvp,generic,Charleston Road Registry Inc.,2025-06-12
.ruhr,generic,regiodot GmbH & Co. KG,2025-06-12
.ryukyu,generic,BusinessRalliart inc.,2025-06-12
.saarland,generic,dotSaarland GmbH,2025-06-12
.sale,generic,"United TLD Holdco, Ltd",2025-06-12
.samsung,generic,"SAMSUNG SDS CO., LTD",2025-06-12
.sap,generic,SAP AG,2025-06-12
.sarl,generic,"Delta Orchard, LLC",2025-06-12
.saxo,generic,Saxo Bank A/S,2025-06-12
.sca,generic,SVENSKA CELLULOSA AKTIEBOLAGET SCA (publ),2025-06-12
.scb,generic,"The Siam Commercial Bank Public Company Limited (""SCB"")",2025-06-12
.schmidt,generic,SALM S.A.S.,2025-06-12
.scholarships,generic,"Scholarships.com, LLC",2025-06-12
.school,generic,"Little Galley, LLC",2025-06-12
.schule,generic,"Outer Moon, LLC",2025-06-12
.schwarz,generic,Schwarz Domains und Services GmbH & Co. KG,2025-06-12
.science,generic,dot Science Limited,2025-06-12
.scot,generic,Dot Scot Registry Limited,2025-06-12
.services,generic,"Fox Castle, LLC",2025-06-12
.sew,generic,SEW-EURODRIVE GmbH & Co KG,2025-06-12
.sexy,generic,"Uniregistry, Corp.",2025-06-12
.shiksha,generic,Afilias Limited,2025-06-12
.shoes,generic,"Binky Galley, LLC",2025-06-12
.shriram,generic,Shriram Capital Ltd.,2025-06-12
.singles,generic,"Fern Madison, LLC",2025-06-12
.site,generic,DotSite Inc.,2025-06-12
.sky,generic,"Sky IP International Ltd, a company incorporated in England and Wales, operating via its registered Swiss branch",2025-06-12
.social,generic,United TLD Holdco Ltd.,2025-06-12
.software,generic,"United TLD Holdco, Ltd",2025-06-12
.sohu,generic,Sohu.com Limited,2025-06-12
.solar,generic,"Ruby Town, LLC",2025-06-12
.solutions,generic,"Silver Cover, LLC",2025-06-12
.soy,generic,Charleston Road Registry Inc.,2025-06-12
.space,generic,DotSpace Inc.,2025-06-12
.spiegel,generic,SPIEGEL-Verlag Rudolf Augstein GmbH & Co. KG,2025-06-12
.spreadbetting,generic,DOTSPREADBETTING REGISTRY LTD,2025-06-12
.study,generic,OPEN UNIVERSITIES AUSTRALIA PTY LTD,2025-06-12
.style,generic,"Binky Moon, LLC",2025-06-12
.sucks,generic,Vox Populi Registry Inc.,2025-06-12
